algoritmo,tipo_instancia,n,repeticao,tempo_s,pico_memoria_bytes,estados,existe,estourou_timeout
backtracking,com_solucao,10,0,1.8457998521625996e-05,2582,23,True,False
backtracking,com_solucao,10,1,1.2500000593718141e-05,2550,6,True,False
backtracking,com_solucao,10,2,1.7291000403929502e-05,2550,49,True,False
backtracking,com_solucao,10,3,2.89999989036005e-05,2550,86,True,False
backtracking,com_solucao,10,4,2.6707999495556578e-05,2550,117,True,False
meet_in_middle,com_solucao,10,0,2.5332999939564615e-05,5752,87,True,False
meet_in_middle,com_solucao,10,1,2.3458000214304775e-05,5752,72,True,False
meet_in_middle,com_solucao,10,2,2.6041998353321105e-05,5752,86,True,False
meet_in_middle,com_solucao,10,3,2.4166998628061265e-05,5752,88,True,False
meet_in_middle,com_solucao,10,4,2.3541997506981716e-05,5752,81,True,False
backtracking,com_solucao,15,0,4.308300049160607e-05,2958,300,True,False
backtracking,com_solucao,15,1,0.0003006250008183997,2958,2648,True,False
backtracking,com_solucao,15,2,0.00015745900236652233,2990,1415,True,False
backtracking,com_solucao,15,3,0.00027854099971591495,2990,2657,True,False
backtracking,com_solucao,15,4,0.00013620800018543378,2990,1268,True,False
meet_in_middle,com_solucao,15,0,5.966699973214418e-05,40280,459,True,False
meet_in_middle,com_solucao,15,1,7.145800191210583e-05,40280,573,True,False
meet_in_middle,com_solucao,15,2,5.8834000810747966e-05,40280,437,True,False
meet_in_middle,com_solucao,15,3,7.029100015643053e-05,40280,574,True,False
meet_in_middle,com_solucao,15,4,7.954100146889687e-05,40280,500,True,False
backtracking,com_solucao,20,0,0.003083708001213381,3478,28223,True,False
backtracking,com_solucao,20,1,0.0040358340011152904,3446,40768,True,False
backtracking,com_solucao,20,2,0.00018075000116368756,3510,1634,True,False
backtracking,com_solucao,20,3,0.004241916001774371,3414,39830,True,False
backtracking,com_solucao,20,4,0.0023768749997543637,3446,23932,True,False
meet_in_middle,com_solucao,20,0,0.0014950420008972287,278024,2641,True,False
meet_in_middle,com_solucao,20,1,0.0015692500019213185,277912,3005,True,False
meet_in_middle,com_solucao,20,2,0.0015510419980273582,278040,3037,True,False
meet_in_middle,com_solucao,20,3,0.001561916997161461,277896,2331,True,False
meet_in_middle,com_solucao,20,4,0.0015794579994690139,277864,2428,True,False
backtracking,com_solucao,25,0,0.07949999999982538,3918,755516,True,False
backtracking,com_solucao,25,1,0.02590195899756509,3886,259000,True,False
backtracking,com_solucao,25,2,0.06511341700024786,3918,636823,True,False
