algoritmo,tipo_instancia,n,repeticao,tempo_s,pico_memoria_bytes,estados,existe,estourou_timeout
backtracking,com_solucao,10,0,1.7250000382773578e-05,2582,23,True,False
backtracking,com_solucao,10,1,1.3709000995731913e-05,2550,6,True,False
backtracking,com_solucao,10,2,2.0041999960085377e-05,2550,49,True,False
backtracking,com_solucao,10,3,2.154100002371706e-05,2550,86,True,False
backtracking,com_solucao,10,4,2.6416999389766715e-05,2550,117,True,False
backtracking_sem_poda,com_solucao,10,0,3.391700010979548e-05,2710,214,True,False
backtracking_sem_poda,com_solucao,10,1,1.4082999769016169e-05,2550,6,True,False
backtracking_sem_poda,com_solucao,10,2,8.004200026334729e-05,2742,730,True,False
backtracking_sem_poda,com_solucao,10,3,9.87920011539245e-05,2742,830,True,False
backtracking_sem_poda,com_solucao,10,4,0.00014483300037682056,2742,1270,True,False
backtracking,com_solucao,15,0,4.6499999371008016e-05,2958,300,True,False
backtracking,com_solucao,15,1,0.0003022920009243535,2958,2648,True,False
backtracking,com_solucao,15,2,0.00017174999993585516,2990,1415,True,False
backtracking,com_solucao,15,3,0.0003090410009463085,2990,2657,True,False
backtracking,com_solucao,15,4,0.0001479580005252501,2990,1268,True,False
backtracking_sem_poda,com_solucao,15,0,0.0014010830000188434,3182,15421,True,False
backtracking_sem_poda,com_solucao,15,1,0.00455225000041537,3182,52429,True,False
backtracking_sem_poda,com_solucao,15,2,0.004876582999713719,3150,53881,True,False
backtracking_sem_poda,com_solucao,15,3,0.0037994169997546123,3182,42273,True,False
backtracking_sem_poda,com_solucao,15,4,0.0011770829987653997,3150,13129,True,False
backtracking,com_solucao,20,0,0.0031709589984529885,3478,28223,True,False
backtracking,com_solucao,20,1,0.004327500000727014,3446,40768,True,False
backtracking,com_solucao,20,2,0.00019454199900792446,3510,1634,True,False
backtracking,com_solucao,20,3,0.004316208000091137,3414,39830,True,False
backtracking,com_solucao,20,4,0.002668291999725625,3446,23932,True,False
backtracking_sem_poda,com_solucao,20,0,0.13396237500091956,3702,1517899,True,False
backtracking_sem_poda,com_solucao,20,1,0.05656283299867937,3702,636587,True,False
backtracking_sem_poda,com_solucao,20,2,0.03023883400055638,3734,324211,True,False
backtracking_sem_poda,com_solucao,20,3,0.12135391700030596,3702,1302891,True,False
backtracking_sem_poda,com_solucao,20,4,0.08722849999867321,3702,988603,True,False
backtracking,com_solucao,25,0,0.07910824999999022,3918,755516,True,False
backtracking,com_solucao,25,1,0.02710145899982308,3886,259000,True,False
backtracking,com_solucao,25,2,0.0664300420012296,3918,636823,True,False
backtracking,com_solucao,25,3,0.0232218750006723,3950,217683,True,False
backtracking,com_solucao,25,4,0.02055254100014281,3822,194475,True,False
backtracking_sem_poda,com_solucao,25,0,2.2099754999999277,4206,24710009,True,False
backtracking_sem_poda,com_solucao,25,1,0.7125656250009342,4238,8262109,True,False
backtracking_sem_poda,com_solucao,25,2,2.566958583000087,4206,28984573,True,False
backtracking_sem_poda,com_solucao,25,3,1.6825412090001919,4238,19296509,True,False
backtracking_sem_poda,com_solucao,25,4,1.2657784160001029,4206,14586801,True,False
backtracking,com_solucao,30,0,0.0034589999995660037,4214,32760,True,False
backtracking,com_solucao,30,1,0.036687541998617235,4182,349544,True,False
backtracking,com_solucao,30,2,0.17898533299921837,4246,1692870,True,False
backtracking,com_solucao,30,3,0.00010558299982221797,4118,850,True,False
backtracking,com_solucao,30,4,0.0044129170000815066,4182,41194,True,False
backtracking_sem_poda,com_solucao,30,0,2.0082203750007466,4598,22903758,True,False
backtracking_sem_poda,com_solucao,30,1,5.786185749999277,4662,66285111,True,False
backtracking_sem_poda,com_solucao,30,2,17.33887975000107,,198791413,True,False
backtracking_sem_poda,com_solucao,30,3,0.35577058299895725,4630,4127687,True,False
backtracking_sem_poda,com_solucao,30,4,8.932237375000113,4598,100592174,True,False
backtracking,com_solucao,35,0,0.07616858300025342,4622,732071,True,False
backtracking,com_solucao,35,1,0.05663829099830764,4622,543304,True,False
backtracking,com_solucao,35,2,0.012917083999127499,4590,115424,True,False
backtracking,com_solucao,35,3,0.19869629200002237,4590,1912723,True,False
backtracking,com_solucao,35,4,0.3941736659999151,4686,3862819,True,False
backtracking_sem_poda,com_solucao,35,0,33.615918334000526,,385251343,True,False
